127.0.0.1 - - [16/Apr/2019:00:36:31 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:43:56 -0400] "GET /jmf194_Music/song.html HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:43:56 -0400] "GET /jmf194_Music/script/jquery-3.4.0.min.js HTTP/1.1" 200 88151
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:43:56 -0400] "GET /jmf194_Music/css/style.css HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:44:10 -0400] "GET /jmf194_Music/song.html HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:44:10 -0400] "GET /jmf194_Music/css/style.css HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:44:10 -0400] "GET /jmf194_Music/script/jquery-3.4.0.min.js HTTP/1.1" 200 88151
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:44:10 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:45:53 -0400] "GET /jmf194_Music/song.html HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:45:53 -0400] "GET /jmf194_Music/menu.html HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:46:03 -0400] "GET /jmf194_Music/song.html HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:46:03 -0400] "GET /jmf194_Music/menu.html HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:46:06 -0400] "GET /jmf194_Music/artist.html HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:46:21 -0400] "GET /jmf194_Music/SongListWS?title=tru&searchType= HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:46:23 -0400] "GET /jmf194_Music/SongListWS?title=trus&searchType= HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:46:24 -0400] "GET /jmf194_Music/SongListWS?title=tru&searchType= HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:46:27 -0400] "GET /jmf194_Music/SongListWS?title=shoo&searchType= HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:46:27 -0400] "GET /jmf194_Music/SongListWS?title=sho&searchType= HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:47:00 -0400] "GET /jmf194_Music/song.html HTTP/1.1" 200 2746
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:54:45 -0400] "GET /jmf194_Music/song.html HTTP/1.1" 200 2746
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:56:14 -0400] "GET /jmf194_Music/index.php HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:56:37 -0400] "GET /jmf194_Music/index.php HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:56:56 -0400] "GET /jmf194_Music/index.html HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:57:02 -0400] "GET /jmf194_Music/index.html HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:57:16 -0400] "GET /jmf194_Music/artist.html HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:57:30 -0400] "GET /jmf194_Music/artist.html HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:57:42 -0400] "GET /jmf194_Music/song.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:57:43 -0400] "GET /jmf194_Music/album.html HTTP/1.1" 200 2994
0:0:0:0:0:0:0:1 - - [16/Apr/2019:00:57:46 -0400] "GET /jmf194_Music/index.php HTTP/1.1" 404 1100
